reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID",68-11-1,200-677-4,"(a) Hair products

(b) Depilatories

(c) Hair rinse-off products 

(d) Products intended for eyelash waving","(a) (i) 8%    (ii) 11% 

(b) 5% 

(c) 2%
 
(d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) (i) General use ready for use pH 7 to 9.5        (ii) Professional use ready for use pH 7 to 9.5

(b) ready for use pH 7 to 12.7

(c) ready for use pH 7 to 9.5

(d) ready for use pH 7 to 9,5


","Conditions of use:

(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them.

(a) (c) (d)
Wear suitable gloves

Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children

(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions’
","(EU) 2015/1190",,"Thioglycolic acid and its salts (TGA)","Thioglycolic acid and its salts","AMMONIUM THIOGLYCOLATE,CALCIUM THIOGLYCOLATE,ETHANOLAMINE THIOGLYCOLATE,MAGNESIUM THIOGLYCOLATE,POTASSIUM THIOGLYCOLATE,SODIUM THIOGLYCOLATE,STRONTIUM THIOGLYCOLATE,THIOGLYCOLIC ACID,CALCIUM THIOGLYCOLATE HYDROXIDE",,27/07/2020
57,"Strontium chloride hexahydrate","STRONTIUM CHLORIDE",10476-85-4,233-971-6,"(a) Oral products
(b) Shampoo and face products
","(a) 3.5% (as strontium) 
When mixed with other permitted strontium products the total strontium content must not exceed 3.5%
(b) 2.1% (as strontium)
When mixed with other permitted strontium products the total strontium content must not exceed 2.1%
",,"Contains strontium chloride
Frequent use by children is not advisable
","(EC) 2009/1223",,"Strontium chloride hexahydrate",,"STRONTIUM CHLORIDE,STRONTIUM CHLORIDE HEXAHYDRATE",,17/10/2010
58,"Strontium acetate hemihydrate","STRONTIUM ACETATE",543-94-2,208-854-8,"Oral products","3.5% (as strontium)
When mixed with other permitted strontium products the total strontium content must not exceed 3.5%",,"Contains strontium acetate
Frequent use by children is not advisable","(EC) 2009/1223",,,,"STRONTIUM ACETATE",,17/10/2010
59,"Talc: Hydrated magnesium silicate",TALC,14807-96-6,238-877-9,"(a) Powdery products intended to be used for children under 3 years of age
(b) Other products
",,,"(a) Keep powder away from children's nose and mounth
","(EC) 2009/1223",,,,TALC,,17/10/2010
60,"Fatty acid dialkylamides and dialkanolamides",-,-,-,,"Maximum secondary amine content: 0.5%","- Do not use with nitrosating systems
- Maximum secondary amine content: 5% (applies to raw materials) 
- Maximum nitrosamine content: 50 microgram/kg 
- Keep in nitrite-free containers",,"(EC) 2009/1223",,"Opinion concerning Dialkyl- and Dialkanolamines and their salts in cosmetic products","Fatty acid dialkylamides and dialkanolamides","ALMONDAMIDE DEA,APRICOTAMIDE DEA,AVOCADAMIDE DEA,BABASSUAMIDE DEA,BEHENAMIDE DEA,CAPRAMIDE DEA,CETYL-PG HYDROXYETHYL DECANAMIDE,CETYL-PG HYDROXYETHYL PALMITAMIDE,COCAMIDE DEA,HYDROGENATED TALLOWAMIDE DEA,ISOSTEARAMIDE DEA,LANOLINAMIDE DEA,LAURAMIDE DEA,LAURAMIDE/MYRISTAMIDE DEA,LECITHINAMIDE DEA,LINOLEAMIDE DEA,MINKAMIDE DEA,MYRISTAMIDE DEA,OLEAMIDE DEA,OLIVAMIDE DEA,PALM KERNELAMIDE DEA,PALMAMIDE DEA,PALMITAMIDE DEA,RICINOLEAMIDE DEA,SESAMIDE DEA,SOYAMIDE DEA,STEARAMIDE DEA,TALLAMIDE DEA,TALLOWAMIDE DEA,UNDECYLENAMIDE DEA,WHEAT GERMAMIDE DEA,CORNAMIDE DEA,CORNAMIDE/COCAMIDE DEA,DIETHYL CAPRYLAMIDE,DIMETHYL CAPRAMIDE,HYDROXYCETYL HYDROXYETHYLSTEARAMIDE,N-LAURYL DIETHANOLAMINE,LACTAMIDE DEA,RICEBRANAMIDE DEA,OLEAMIDE DIPA,AVOCADAMIDE DIPA,COCAMIDE DIPA,SESAMIDE DIPA,LAURAMIDE DIPA,MYRISTAMIDE DIPA",,20/01/2023
61,"Monoalkylamines, monoalkanolamines and their salts",-,-,-,,"Maximum secondary amine content: 0.5%","- Do not use with nitrosating systems
- Minimum purity: 99% 
- Maximum secondary amine content: 0.5% (applies to raw materials) 
- Maximum nitrosamine content: 50 microgram/kg 
- Keep in nitrite-free containers",,"(EC) 2009/1223",,"Opinion concerning Dialkyl- and Dialkanolamines and their salts in cosmetic products",-,"AMP-ACRYLATES/DIACETONEACRYLAMIDE COPOLYMER,AMP-ACRYLATES/DIMETHYLAMINOETHYLMETHACRYLATE COPOLYMER,CICLOPIROX OLAMINE,ETHANOLAMINE,ETHANOLAMINE GLYCEROPHOSPHATE,ETHANOLAMINE HCl,ETHANOLAMINE THIOGLYCOLATE,HYDROGENATED TALLOWAMINE,ISOPROPANOLAMINE,ISOPROPANOLAMINE LANOLATE,ISOPROPYLAMINE,ISOPROPYLAMINE DODECYLBENZENESULFONATE,LAURAMINE,MEA O-PHENYLPHENATE,MEA-BENZOATE,MEA-BORATE,MEA-DICETEARYL PHOSPHATE,MEA-HYDROLYZED SILK,MEA-LAURETH SULFATE,MEA-LAURYL SULFATE,MEA-SALICYLATE,MEA-THIOLACTATE,MEA-UNDECYLENATE,MIPA-BORATE,MIPA-LAURYL SULFATE,OLEAMINE,PIROCTONE OLAMINE,SOYAMINE,STEARAMINE,AMP-ACRYLATES/ALLYL METHACRYLATE COPOLYMER,AMP-ACRYLATES/C1-18 ALKYL ACRYLATE/C1-8 ALKYL ACRYLAMIDE/HYDROXYETHYLACRYLATE COPOLYMER,AMP-ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER,AMP-ISOSTEAROYL HYDROLYZED ELASTIN,AMP-ISOSTEAROYL HYDROLYZED KERATIN,AMP-ISOSTEAROYL HYDROLYZED SILK,AMP-ISOSTEAROYL WHEAT/CORN/SOY AMINO ACIDS,BABASSUAMIDE MEA,MIPA-MYRISTATE,LYSOPHOSPHATIDYLETHANOLAMINE,MEA-BIOTINATE,MEA-SULFITE,SODIUM/MEA-PEG-3 COCAMIDE SULFATE,2-AMINOBUTANOL,AMINOMETHYL PROPANOL,AMP-ACRYLATES COPOLYMER,AMP-ISOSTEAROYL GELATIN/KERATIN AMINO ACIDS/LYSINE HYDROXYPROPYLTRIMONIUM CHLORIDE,AMP-ISOSTEAROYL HYDROLYZED COLLAGEN,AMP-ISOSTEAROYL HYDROLYZED SOY PROTEIN,AMP-ISOSTEAROYL HYDROLYZED WHEAT PROTEIN,COCAMINE,ETHANOLAMINE DITHIODIGLYCOLATE,MIPA C12-15 PARETH SULFATE,MIPA-DODECYLBENZENESULFONATE,MIPA-LAURETH SULFATE,MEA-HYDROLYZED COLLAGEN,MEA-LAURETH-6 CARBOXYLATE,MEA PPG-6 LAURETH-7 CARBOXYLATE,MEA-PPG-8-STEARETH-7 CARBOXYLATE,PALMITAMINE,SODIUM/MEA LAURETH-2 SULFOSUCCINATE,TROMETHAMINE,TALLOW AMINE,MEA-COCOATE,PALMAMINE,SUNFLOWERAMIDE MEA",,18/06/2019
62,"Trialkylamines, trialkanolamines and their salts",-,-,-,"(a) Leave-on products
(b) Rinse-off products
","(a) 2.5%
","(a) (b)
- Do not use with nitrosating systems 
- Minimum purity: 99%
- Maximum secondary amine content: 0.5% (applies to raw materials) 
- Maximum nitrosamine content: 50 microgram/kg 
- Keep in nitrite-free containers
",,"(EC) 2009/1223",,"Opinion concerning Dialkyl- and Dialkanolamines and their salts in cosmetic products",,"DIBEHENYL METHYLAMINE,DIMETHYL BEHENAMINE,DIMETHYL COCAMINE,DIMETHYL HYDROGENATED TALLOWAMINE,DIMETHYL LAURAMINE,DIMETHYL LAURAMINE ISOSTEARATE,DIMETHYL MYRISTAMINE,DIMETHYL PALMITAMINE,DIMETHYL SOYAMINE,DIMETHYL STEARAMINE,DIMETHYL TALLOWAMINE,DI-TEA-OLEAMIDO PEG-2 SULFOSUCCINATE,DI-TEA-PALMITOYL ASPARTATE,LAURYL DIMETHYLAMINE CYCLOCARBOXYPROPYLOLEATE,MAGNESIUM/TEA-COCO-SULFATE,METHYL DICOCAMINE,SODIUM/TEA-UNDECYLENOYL ALGINATE,SODIUM/TEA-UNDECYLENOYL CARRAGEENAN,SULFURIZED TEA-RICINOLEATE,TEA-C10-15 ALKYL SULFATE,TEA-C12-13 ALKYL SULFATE,TEA-C12-14 ALKYL SULFATE,TEA-C12-15 ALKYL SULFATE,TEA-COCOATE,TEA-COCOYL GLUTAMATE,TEA-COCOYL HYDROLYZED COLLAGEN,TEA-COCOYL SARCOSINATE,TEA-EDTA,TEA-HYDROCHLORIDE,TEA-LACTATE,TEA-LAUROYL GLUTAMATE,TEA-LAUROYL LACTYLATE,TEA-LAUROYL METHYLAMINOPROPIONATE,TEA-LAURYL SULFATE,TEA-MYRISTATE,TEA-OLEATE,TEA-PALMITATE,TEA-PEG-3 COCAMIDE SULFATE,TEA-PHENYLBENZIMIDAZOLE SULFONATE,TEA-SALICYLATE,TEA-SORBATE,TEA-STEARATE,TEA-SULFATE,TEA-TALLATE,TEA-TRIDECYLBENZENESULFONATE,TEA-UNDECYLENATE,TIPA-LAURETH SULFATE,TRIETHANOLAMINE,TRIISOPROPANOLAMINE,TRILAURYLAMINE,DI-TEA-COCAMIDE DIACETATE,POLYURETHANE-17,POLYURETHANE-18,POLYURETHANE-19,POLYURETHANE-21,TIPA-ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER,TIPA-MYRISTATE,TEA-ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER,TEA-ALGINATE,TEA-C11-15 ALKYL SULFATE,TEA-C12-13 ALKYL PHOSPHATE,TEA-C12-13 PARETH-3 SULFATE,TEA-C12-14 ALKYL PHOSPHATE,TEA-COCAMIDE DIACETATE,TEA-COCOYL ALANINATE,TEA-COCOYL GLUTAMINATE,TEA-COCOYL GLYCINATE,TEA-DEXTRIN OCTENYLSUCCINATE,TEA-DIETHANOLAMINOETHYL POLYISOBUTENYLSUCCINATE,TEA-DIMETHICONE PEG-7 PHOSPHATE,TEA-GLYCERYL DIMALEATE,TEA-HYDROGENATED COCOATE,TEA-HYDROGENATED TALLOWOYL GLUTAMATE,TEA-LAURATE/MYRISTATE,TEA-LAURETH-4 PHOSPHATE,TEA-C11-15 PARETH SULFATE,TEA-LAUROYL/MYRISTOYL ASPARTATE,TEA-LAURYL PHOSPHATE,TEA-PEG-50 HYDROGENATED CASTOR OIL SUCCINATE,DIMETHYL LAURAMINE DIMER DILINOLEATE,DIMETHYL LAURAMINE OLEATE,DISTEARYLDIMETHYLAMINE DILINOLEATE,SODIUM/TEA-UNDECYLENOYL COLLAGEN AMINO ACIDS,SODIUM/TEA-UNDECYLENOYL HYDROLYZED COLLAGEN,SODIUM/TEA-UNDECYLENOYL HYDROLYZED CORN PROTEIN,SODIUM/TEA-UNDECYLENOYL HYDROLYZED SOY PROTEIN,SODIUM/TEA-UNDECYLENOYL HYDROLYZED WHEAT PROTEIN,SODIUM/TEA-LAUROYL COLLAGEN AMINO ACIDS,SODIUM/TEA-LAUROYL HYDROLYZED COLLAGEN,SODIUM/TEA-LAUROYL HYDROLYZED KERATIN,SODIUM/TEA-LAUROYL KERATIN AMINO ACIDS,TIPA-LAURYL SULFATE,TIPA-STEARATE,TEA-ABIETOYL HYDROLYZED COLLAGEN,TEA-ACRYLATES/ACRYLONITROGENS COPOLYMER,TEA-CANOLATE,TEA-CARBOMER,TEA-COCO-SULFATE,TEA-COCOYL HYDROLYZED SOY PROTEIN,TEA-DODECYLBENZENESULFONATE,TEA-HYDROIODIDE,TEA-ISOSTEARATE,TEA-ISOSTEAROYL HYDROLYZED COLLAGEN,TEA-LANETH-5 SULFATE,TEA-LAURAMINOPROPIONATE,TEA-LAURATE,TEA-LAURETH SULFATE,TEA-LAUROYL COLLAGEN AMINO ACIDS,TEA-LAUROYL HYDROLYZED COLLAGEN,TEA-LAUROYL KERATIN AMINO ACIDS,TEA-LAUROYL SARCOSINATE,TEA-MYRISTAMINOPROPIONATE,TEA-MYRISTOYL HYDROLYZED COLLAGEN,TEA-OLEOYL HYDROLYZED COLLAGEN,TEA-OLEOYL SARCOSINATE,TEA-OLEYL SULFATE,TEA-PALM KERNEL SARCOSINATE,TEA-PCA,TEA-ROSINATE,TEA-UNDECYLENOYL HYDROLYZED COLLAGEN,TEA-C8-18 PERFLUOROALKYLETHYL PHOSPHATE,HYDROXYETHYL ISOSTEARYLOXY ISOPROPANOLAMINE,BUTYL DIETHANOLAMINE,TEA C14-17 ALKYL SEC SULFONATE,,DIHYDROGENATED TALLOW METHYLAMINE,SODIUM/TEA C12-13 PARETH-3 SULFATE,DICOCODIMETHYLAMINE DILINOLEATE,POLYURETHANE-46",,17/10/2010
63,"Strontium hydroxide","STRONTIUM HYDROXIDE",18480-07-4,242-367-1,"pH-adjuster for depilatories","3.5% (as strontium) ","pH ","Keep out of reach of children
Avoid contact with the eyes","(EC) 2009/1223",,,,"STRONTIUM HYDROXIDE",,17/10/2010
64,"Strontium peroxide","Strontium peroxide",1314-18-7,215-224-6,"Rinse-off hair products","4.5% (as strontium)","All products must meet the hydrogen peroxide release requirements
Professional use","Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them
For professional use only
Wear suitable gloves","(EC) 2009/1223",,,,"STRONTIUM PEROXIDE",,17/10/2010
65,"Benzalkonium chloride, bromide and saccharinate (9)","BENZALKONIUM CHLORIDE / BENZALKONIUM BROMIDE / BENZALKONIUM SACCHARINATE","91080-29-4 / 63449-41-2 / 68391-01-5 / 68424-85-1 / 85409-22-9 / 68989-01-5","293-522-5 / 264-151-6 / 269-919-4 / 270-325-2 / 287-089-1 / 273-545-7","Rinse-off hair (head) products

","3% (as benzalkonium chloride)
","In the final products the concentrations of benzalkonium chloride, bromide and saccharinate with an alkyl chain of C14, or less must not exceed 0.1% (as benzalkonium chloride)
For purposes other than inhibiting the development of micro-organismes in the product. This purpose has to be apparent from the presentation of the product
","Avoid contact with the eyes
","(EC) 2009/1223",,"Opinion concerning Restrictions on Materials listed in annex VI of Directive 76/768/EEC on Cosmetic Products",,"BENZALKONIUM CHLORIDE / BENZALKONIUM BROMIDE / BENZALKONIUM SACCHARINATE,BENZALKONIUM BROMIDE,BENZALKONIUM CHLORIDE,BENZALKONIUM SACCHARINATE,CETALKONIUM CHLORIDE,CETEARALKONIUM BROMIDE,HYDROGENATED TALLOWALKONIUM CHLORIDE,STEARALKONIUM CHLORIDE,TALLOWALKONIUM CHLORIDE,COCOALKONIUM CHLORIDE",,04/11/2010
66,Polyacrylamides,-,-,-,"(a) Body leave-on products
(b) Other products
",,"(a) Maximum residual acrylamide content 0.1mg/kg
(b) Maximum residual acrylamide content 0.5mg/kg
",,"(EC) 2009/1223",,"Opinion concerning Acrylamide Residues in Cosmetics",,"ACRYLAMIDE/SODIUM ACRYLATE COPOLYMER,ACRYLAMIDES COPOLYMER,ACRYLATES/ACRYLAMIDE COPOLYMER,CORN STARCH/ACRYLAMIDE/SODIUM ACRYLATE COPOLYMER,GELATIN/LYSINE/POLYACRYLAMIDE HYDROXYPROPYLTRIMONIUM CHLORIDE,POLYACRYLAMIDE,POLYQUATERNIUM-5,POLYQUATERNIUM-7,STARCH/ACRYLATES/ACRYLAMIDE COPOLYMER,STYRENE/ACRYLAMIDE COPOLYMER,ACRYLAMIDE/AMMONIUM ACRYLATE COPOLYMER,ACRYLAMIDE/ETHALKONIUM CHLORIDE ACRYLATE COPOLYMER,ACRYLAMIDE/ETHYLTRIMONIUM CHLORIDE ACRYLATE/ETHALKONIUM CHLORIDE ACRYLATE COPOLYMER,ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER,ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE/ACRYLIC ACID COPOLYMER,ACRYLAMIDOPROPYLTRIMONIUM CHLORIDE/ACRYLAMIDE COPOLYMER,AMINOETHYLPROPANEDIOL-ACRYLATES/ACRYLAMIDE COPOLYMER,POLYACRYLATE-10,POLYACRYLATE-11,POLYACRYLATE-13,POLYACRYLATE-2,POLYACRYLATE-7,SODIUM ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE/ACRYLAMIDE COPOLYMER,SODIUM ACRYLOYLDIMETHYL TAURATE/ACRYLAMIDE/VP COPOLYMER,POLYQUATERNIUM-43,POLYQUATERNIUM-53,POLYQUATERNIUM-63,POTASSIUM ACRYLATES/ACRYLAMIDE COPOLYMER,POLYQUATERNIUM-32,POLYQUATERNIUM-33,POLYQUATERNIUM-39,POLYQUATERNIUM-15,ACRYLAMIDES/DMAPA ACRYLATES/METHOXY PEG METHACRYLATE COPOLYMER,POLY[OXYMETHYLENE MELAMINE ACRYLATES/ACRYLAMIDE],POLYQUATERNIUM-94,POLYACRYLATE-31",,17/10/2010
67,2-Benzylideneheptanal,"Amyl cinnamal",122-40-7,204-541-5,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,"AMYL CINNAMAL",,17/10/2010
69,"Cinnamyl alcohol","Cinnamyl alcohol",104-54-1,203-212-3,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,"CINNAMYL ALCOHOL",,17/10/2010
70,"3,7-Dimethyl-2,6-octadienal; (E)-3,7-dimethylocta-2,6-dienal; (Z)-3,7-dimethylocta-2,6-dienal","Citral; Geranial; Neral","5392-40-5; 141-27-5; 106-26-3","226-394-6; 205-476-5; 203-379-2",,,"The presence of the substance or substances shall be indicated as ‘Citral’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds:
— 0,001 % in leave-on products
— 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,"3,7-Dimethyl-2,6-octadienal ",CITRAL,,11/09/2023
71,"Phenol, 2-methoxy-4-(2-propenyl)-",Eugenol,97-53-0,202-589-1,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds:
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,EUGENOL,,17/10/2010
72,Hydroxycitronellal,HYDROXYCITRONELLAL,107-75-5,203-518-7,"(a) Oral products
(b) Other products","(b) 1,0 %","(a) (b) The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products",,"(EC) 2013/344",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy,An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down",7-Hydroxycitronellal,HYDROXYCITRONELLAL,,14/05/2013
73,"Phenol, 2-methoxy-4-(1-propenyl);
(E)-2-methoxy-4-(prop-1-enyl)phenol;(trans-Isoeugenol); 
(Z)-2-methoxy-4-(prop-1-enyl)phenol;(cis-Isoeugenol)",ISOEUGENOL,"97-54-1; 5932-68-3; 5912-86-7","202-590-7; 227-678-2; 227-633-7","(a) Oral products
(b) Other products","b) 0,02 %","(a) (b) The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds:
— 0,001 % in leave-on products
— 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,"Phenol, 2-methoxy-4- (1-propenyl)",ISOEUGENOL,,11/09/2023
74,2-Pentyl-3-phenylprop-2-en-1-ol,"Amylcinnamyl alcohol",101-85-9,202-982-8,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,"AMYLCINNAMYL ALCOHOL",,17/10/2010
75,"Benzyl salicylate","Benzyl salicylate",118-58-1,204-262-9,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,"BENZYL SALICYLATE",,17/10/2010
76,"2-Propenal, 3-phenyl-",Cinnamal,104-55-2,203-213-9,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 6(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,CINNAMAL,,17/10/2010
77,2H-1-Benzopyran-2-one,Coumarin,91-64-5,202-086-7,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy,Opinion on Coumarin (sensitisation only)",,COUMARIN,,17/10/2010
78,"2,6-Octadien-1-ol, 3,7-dimethyl-, (2E)-",Geraniol,106-24-1,203-377-1,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,GERANIOL,,17/10/2010
80,"4-Methoxybenzyl alcohol","ANISe ALCOHOL",105-13-5,203-273-6,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,"ANISE ALCOHOL",,04/11/2010
81,"2-Propenoic acid, 3-phenyl-, phenylmethyl ester","Benzyl cinnamate",103-41-3,203-109-3,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,"BENZYL CINNAMATE",,17/10/2010
82,"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",Farnesol,4602-84-0,225-004-1,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy,Opinion on ""Dermal Sensitization Quantitative Risk Assesment "" (QRA: Citral, farnesol and phenylacetaldehyde)",,FARNESOL,,17/10/2010
84,"1,6-Octadien-3-ol, 3,7-dimethyl-",Linalool,78-70-6,201-134-4,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Linalool,Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy","3,7-dimethyl-1,6-octadien-3-ol  
","LINALOOL,d-allo-OCIMENOL,l-allo-OCIMENOL",,17/10/2010
85,"Benzyl benzoate","Benzyl benzoate",120-51-4,204-402-9,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,"BENZYL BENZOATE",,17/10/2010
86,"Citronellol/ (±) 3,7-Dimethyl-6-octen-1-ol;
(3R)-3,7-dimethyloct-6-en-1-ol;
(3S)-3,7-dimethyloct-6-en-1-ol;",Citronellol,"106-22-9/ 26489-01-0; 1117-61-9; 7540-51-4","203-375-0/ 247-737-6; 214-250-5; 231-415-7",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds:
— 0,001 % in leave-on products
— 0,01 % in rinse-off products.",,"(EU) 2023/1545",,,,CITRONELLOL,,11/09/2023
87,2-Benzylideneoctanal,"HEXYL CINNAMAL",101-86-0,202-983-3,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,"HEXYL CINNAMAL",,17/10/2010
